Food Code,Name,Food Category,Base Value,Sub Group Code,Validation Error,Validation Overridden,Description,Dilution,Max Weight,Comment,Edible Portion,Deleted Food Flag,Water,Estimate,Total nitrogen,Estimate,Nitrogen conversion factor,Estimate,Protein,Estimate,Fat,Estimate,Carbohydrate,Estimate,Energy (kcal),Estimate,Energy (kJ),Estimate,Alcohol,Estimate,Englyst fibre,Estimate,Southgate fibre,Estimate,Starch,Estimate,Total sugars,Estimate,Non-milk extrinsic sugars,Estimate,Intrinsic and milk sugars,Estimate,Glucose,Estimate,Fructose,Estimate,Sucrose,Estimate,Maltose,Estimate,Lactose,Estimate,Other sugars,Estimate,Satd FA,Estimate,Cis-Mon FA,Estimate,Cis-n3 FA,Estimate,Cis-n6 FA,Estimate,Trans FA,Estimate,Cholesterol,Estimate,Retinol,Estimate,Total carotene,Estimate,Alpha-carotene,Estimate,Beta-carotene,Estimate,Beta cryptoxanthin,Estimate,Vitamin A,Estimate,Vitamin D,Estimate,Thiamin,Estimate,Riboflavin,Estimate,Niacin,Estimate,Tryptophan/60,Estimate,Niacin equivalent,Estimate,Vitamin C,Estimate,Vitamin E,Estimate,Vitamin B6,Estimate,Vitamin B12,Estimate,Folate,Estimate,Pantothenic acid,Estimate,Biotin,Estimate,Sodium,Estimate,Potassium,Estimate,Calcium,Estimate,Magnesium,Estimate,Phosphorus,Estimate,Iron,Estimate,Haem iron,Estimate,Non-haem iron,Estimate,Copper,Estimate,Zinc,Estimate,Chloride,Estimate,Iodine,Estimate,Manganese,Estimate,Selenium,Estimate
11,CUSTARD POWDER,F,100,1R,FALSE,FALSE,Updated for Yr4 RP - based on market leader Birds SD 21/06/12,1,1,"Updated NaCl for Yr4 RP 21/06/12 SKD
",1,FALSE,12.5,,0.1,,6.25,,0.6,,0.7,,92,,354,,1508,,0,,0.1,,0.5,Yes,92,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.11,,0.2,,0.01,,0.33,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.1,,0.1,,0,,0,,0,,0,,0,,0,,0,,380,,61,,15,,7,,39,,1.4,,0,,1.4,,0.05,,0.3,,570,,3,,0,Yes,1,
12,FLOUR BROWN (85%),F,100,1R,FALSE,FALSE,,1,1,"mw6 10
updated 26/04/05. Updated for NDNS rolling programme using flours and grains analytical data, sample 39.  NK 24/1/07",1,FALSE,11.6,,2.1,,5.7,,12.2,,2,,72.5,,339,,1442,,0,,6.9,,7,,71.5,,1,,0,,1,,0,,0,,0.9,,0.1,,0,,0,,0.29,,0.21,,0.05,,0.77,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.39,,0.1,,3.7,,2.6,,6.3,,0,,0.9,,0.4,,0,,44,,0.7,,4,,2,,295,,28,,72,,256,,2.4,,0,,2.4,,0.32,,2.2,,82,,0,,2.33,,6,
13,FLOUR CHAPATI BROWN,F,100,1R,FALSE,TRUE,,1,1,"27/08/04 Updated with MW6 BH. Updated for NDNS rolling programme using flours and grains analytical data, sample 42.  NK 24/1/07. Updated for NDNS RP yr2 08/04/10 EF",1,FALSE,11.2,,1.8,,5.7,,10.3,,1.9,,73.1,,332,,1415,,0,,7.3,Yes,10.3,,71.9,,1.1,,0,,1.1,,0,,0,,0.9,,0.2,,0,,0,,0.29,,0.18,,0.05,,0.75,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.35,,0.09,,3.8,,2.4,,6.2,,0,,1.2,Yes,0.2,,0,,28,,0.6,,3,,14,,974,,54,,110,,377,,4.6,,0,,4.6,,0.75,,3,,126,,0,,2.05,,32,
14,FLOUR CHAPATI WHITE,F,100,1R,FALSE,FALSE,,1,1,"27/08/04 Updated with MW6 BH.  Updated for NDNS rolling programme using flours and grains analytical data, sample 41.  NK 24/1/07",1,FALSE,11.8,,1.7,,5.7,,9.7,,1.4,,78.3,,345,,1469,,0,,3.4,Yes,4.1,,77.7,,0.6,,0,,0.6,,0,,0,,0.5,,0,,0,,0,,0.35,,0.17,,0.01,,0.41,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.31,,0.05,,1.7,,2.2,,3.9,,0,,0.4,Yes,0.1,,0,,14,,0.6,,2,,2,,189,,60,,28,,130,,1.8,,0,,1.8,,0.19,,0.8,,111,,0,,0.71,,4,
15,FLOUR WHITE HOUSEHOLD PLAIN,F,100,1R,FALSE,FALSE,,1,1,"mw6 12
updated 26/04/05.  Updated for NDNS rolling programme using flours and grains analytical data, sample 33.  NK 24/1/07",1,FALSE,11.6,,1.6,,5.7,,9.1,,1.4,,80.9,,352,,1501,,0,,3.4,,3.6,,80.3,,0.6,,0,,0.6,,0,,0,,0.5,,0.1,,0,,0,,0.44,,0.23,,0,,0.23,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.28,,0.05,,1.7,,2,,3.7,,0,,0.6,Yes,0.2,,0,,16,,0.4,,2,,2,,175,,96,,23,,114,,1.9,,0,,1.9,,0.15,,0.7,,143,,0,,0.7,,3,
16,FLOUR WHITE SELF RAISING,F,100,1R,FALSE,FALSE,,1,1,"mw6 13
updated 26/04/05. Updated for NDNS rolling programme using flours and grains analytical data, sample 35.  NK 24/1/07",1,FALSE,11.3,,1.6,,5.7,,8.9,,1.5,,79.6,,347,,1478,,0,,3.4,,4.1,,79,,0.6,,0,,0.6,,0,,0,,0.5,,0.1,,0,,0,,0.48,,0.25,,0,,0.25,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.28,,0.05,,1.7,,2,,3.7,,0,,0.6,,0.2,,0,,18,,0.4,,2,,342,,190,,280,,25,,463,,1.7,,0,,1.7,,0.12,,0.8,,108,,0,,0.84,,3,
17,FLOUR RICE,F,100,1G,FALSE,FALSE,,1,1,,1,FALSE,11.8,,1.1,,5.95,,6.4,,0.8,,88.1,,363,,1548,,0,,2,,0.6,,88.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.18,,0.2,,0,,0.28,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.1,,0.05,,2.1,,1.4,,3.5,,0,,0.4,,0.2,,0,,29,,0.6,,3,,5,,240,,24,,23,,130,,1.9,,0,,1.9,,0.2,,1.3,,0,,14,,4.01,,13,Yes
18,RYE FLOUR (100%),F,100,1R,FALSE,FALSE,,1,1,"mw6 7
updated 25/04/05. Updated for NDNS rolling programme using flours and grains analytical data, sample 44.  NK 24/1/07. Updated for NDNS RP yr2 08/04/10 EF",1,FALSE,10.7,,1.2,,5.83,,7.3,,1.6,,64.5,,285,,1215,,0,,11.8,,5.7,,63,,1.5,,0,,1.5,,0,,0,,1.2,,0.2,,0,,0,,0.22,,0.17,,0.07,,0.6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.35,,0.12,,0.9,,1.8,,2.7,,0,,0.6,,0.3,,0,,60,,0.7,,7,,2,,419,,33,,85,,307,,2.4,,0,,2.4,,0.33,,2.3,,52,,0,Yes,2.24,,2,
19,SOYA FLOUR,F,100,37I,FALSE,TRUE,,1,1,"Updated for NDNS rolling programme using flours and grains analytical data, sample 45.  NK 24/1/07. Updated for NDNS RP yr2 08/04/10 EF",1,FALSE,5.9,,6,,5.7,,34.3,,22.4,,11,,380,,1588,,0,,12.9,,10.7,,4.6,,6.4,,0,,6.4,,0,,0,,6.4,,0,,0,,0,,2.74,,3.81,,1.42,,9.88,,0.02,,0,,0,,0,,0,,0,,0,,0,,0,,0.38,,0.26,,1.9,,9.2,,11.1,,0,,4.3,,0.4,,0,,245,,1.8,,14,Yes,1,,1867,,182,,245,,668,,8.4,,0,,8.4,,1.31,,4.1,,81,,0,,2.43,,7,
21,FLOUR WHITE BREADMAKING,F,100,1R,FALSE,FALSE,,1,1,"mw6 11
updated 26/04/05. Updated for NDNS rolling programme using flours and grains analytical data, sample 34.  NK 24/1/07",1,FALSE,11.7,,2,,5.7,,11.3,,1.2,,79.2,,353,,1504,,0,,3.1,,3.7,,78.7,,0.5,,0,,0.5,,0,,0,,0.4,,0,,0,,0,,0.31,,0.17,,0.01,,0.34,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.3,,0.05,,1.8,,2,,3.8,,0,,0.4,,0.2,,0,,16,,0.4,,2,,2,,166,,134,,26,,128,,1.9,,0,,1.9,,0.15,,0.8,,98,,0,,0.67,,9,
22,FLOUR WHOLEMEAL (100%),F,100,1R,FALSE,FALSE,,1,1,"mw6 14
updated 26/04/05. Updated for NDNS rolling programme using flours and grains analytical data, sample 36.  NK 24/1/07",1,FALSE,11.1,,2,,5.83,,11.6,,2,,69.9,,326,,1389,,0,,8.8,,8.6,,68.5,,1.4,,0,,1.4,,0,,0,,1,,0.3,,0,,0,,0.29,,0.2,,0.06,,0.8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.36,,0.1,,5,,2.9,,7.9,,0,,0.7,,0.5,,0,,27,,1,,7,,2,,358,,32,,83,,281,,2.5,,0,,2.5,,0.37,,1.9,,108,,0,,2,,5,
23,OATMEAL RAW,F,100,1R,FALSE,FALSE,,1,1,,1,FALSE,8.9,,2.1,,5.83,,12.4,,8.7,,72.8,,401,,1698,,0,,6.8,,6.3,,72.8,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1.52,,3.16,,0.18,,3.33,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.5,,0.1,,1,,2.8,,3.8,,0,,1.7,,0.1,,0,,60,,1,,20,,33,,370,,55,,110,,380,,4.1,,0,,4.1,,0.23,,3.3,,73,,4,,3.7,,3,
