Food Code,Name,Food Category,Base Value,Sub Group Code,Validation Error,Validation Overridden,Description,Dilution,Max Weight,Comment,Edible Portion,Deleted Food Flag,Water,Estimate,Total nitrogen,Estimate,Nitrogen conversion factor,Estimate,Protein,Estimate,Fat,Estimate,Carbohydrate,Estimate,Energy (kcal),Estimate,Energy (kJ),Estimate,Alcohol,Estimate,Englyst fibre,Estimate,Southgate fibre,Estimate,Starch,Estimate,Total sugars,Estimate,Non-milk extrinsic sugars,Estimate,Intrinsic and milk sugars,Estimate,Glucose,Estimate,Fructose,Estimate,Sucrose,Estimate,Maltose,Estimate,Lactose,Estimate,Other sugars,Estimate,Satd FA,Estimate,Cis-Mon FA,Estimate,Cis-n3 FA,Estimate,Cis-n6 FA,Estimate,Trans FA,Estimate,Cholesterol,Estimate,Retinol,Estimate,Total carotene,Estimate,Alpha-carotene,Estimate,Beta-carotene,Estimate,Beta cryptoxanthin,Estimate,Vitamin A,Estimate,Vitamin D,Estimate,Thiamin,Estimate,Riboflavin,Estimate,Niacin,Estimate,Tryptophan/60,Estimate,Niacin equivalent,Estimate,Vitamin C,Estimate,Vitamin E,Estimate,Vitamin B6,Estimate,Vitamin B12,Estimate,Folate,Estimate,Pantothenic acid,Estimate,Biotin,Estimate,Sodium,Estimate,Potassium,Estimate,Calcium,Estimate,Magnesium,Estimate,Phosphorus,Estimate,Iron,Estimate,Haem iron,Estimate,Non-haem iron,Estimate,Copper,Estimate,Zinc,Estimate,Chloride,Estimate,Iodine,Estimate,Manganese,Estimate,Selenium,Estimate
2447,"COOK IN SAUCE, CHINESE, SWEET & SOUR, NOT CANNED",F,100,50R,FALSE,FALSE,"Updated based on 7 brands, 10 products 08.07.11 RS",1,150,"17/08/04 updated Catch up Project 2004 BH. Fat, CHO profile, energy updated 08.07.11 RS",1,FALSE,74.3,,0.1,,6.25,,0.5,,0.3,,23.5,,93,,395,,0,,0.9,,0,,4.9,,18.6,,9.3,,9.3,,4.7,,4.6,,9.3,,0,,0,,0,,0.04,,0.05,,0,,0.19,,0,,0,,0,,584,,118,Yes,496,Yes,57,Yes,97,,0,,0.02,,0,,0.3,,0,,0.3,,1.2,,0.5,,0,,0,,3,,0.1,,2,Yes,339,Yes,93,,11,,6,,11,,0.2,,0,,0.2,,0.03,,0.1,,552,Yes,1,Yes,0.19,,0,
2448,TOMATO KETCHUP,F,100,50R,FALSE,FALSE,Updated based on 10 products 8 brands 17.06.11 RS,1,50,"some values updated from mw6 1217 lw 11/5/05. Code updated for RP pilot.  18/12/06 NK. NaCL updated 17.06.11
",1,FALSE,64.8,,0.3,,6.25,,2.1,,0,,26.6,,108,,461,,0,,0.9,,1.1,,3.4,,23.2,,19.5,,3.6,,5.1,,5.6,,12.6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,473,,0,Yes,460,Yes,27,Yes,79,,0,,1,,0.09,,2.1,,0.2,,2.4,,2,,1,,0,,0,,1,,0.2,,1,,820,,590,,25,,19,,43,,1.2,,0,,1.2,,0.4,,0.1,,910,,2,,0.1,,0,Yes
2449,TOMATO PUREE (NOT CANNED),F,100,50R,FALSE,FALSE,Updated based on 4 products 4 brands 13.07.11 RS,1,150,"some values updated from mw 6 1230 lw 11/5/05. NMES/IMS amended 24/06/10 EF - IMS 100% EF 20/08/10. CHO profile, energy, fibre and NaCl updated 13.07.11 RS",1,FALSE,71.9,,0.7,,6.25,,4.5,,0.2,,15.4,,77,,330,,0,,1.9,,2.6,,1.7,,13.7,,0,,13.7,,6.5,,7.2,,0,,0,,0,,0,,0,,0.08,,0,,0.08,,0,,0,,0,,1784,,0,,1735,,97,,297,,0,,0.4,,0.12,,4,,0.7,,4.7,,10,,5.4,,0.4,,0,,48,,1,,6,,80,,1150,,48,,26,,94,,1.6,,0,,1.6,,0.53,,0.7,,160,,2,,0.3,,1,Yes
2450,TOMATO SAUCE HOMEMADE,F,100,50R,FALSE,FALSE,,1,150,,1,FALSE,80.3,,0.4,,6.25,,2.2,,5.5,,8.6,,89,,374,,0,,1.4,,1.7,,4.3,,4.3,,0,,4.3,,2,,2,,0,,0,,0,,0.3,,2,,1.71,,0.06,,0.42,,0.88,,10,,26,,1070,,140,,983,,32,,204,,0.27,,0.11,,0.02,,0.8,,0.2,,1,,8,,1.5,,0.1,,0,,9,,0.2,,1,,340,,280,,19,,10,,39,,0.6,,0,,0.6,,0.03,,0.3,,560,,5,,0.1,,0,
2451,SAVOURY WHITE SAUCE MADE WITH WHOLE MILK,R,100,50R,FALSE,FALSE,,1,150,,1,FALSE,73.5,,0.7,,7.72,,4.2,,9.9,,10.7,,146,,613,,0,,0.3,,,,5.9,,4.8,,0,,4.8,,0,,0,,0,,0,,4.7,,0,,4.56,,3.49,,0.24,,0.81,,0.08,,15,,92,,69,,0,,68,,0,,104,,0.65,,0.04,,0.22,,0.3,,0.8,,1.2,,1.1,,1,Yes,0.1,,0.8,,7,,0.5,,3,,400,,176,,131,,13,,108,,0.2,,0,,0.2,,0.01,,0.5,,635,,32,,0.05,,1,Yes
2452,WHITE SAUCE SWEET (WHOLE MILK),F,100,9D,FALSE,FALSE,,1,310,,1,FALSE,68.3,,0.6,,6.25,,3.8,,9.5,,18.6,,170,,712,,0,,0.2,,0.2,,5.2,,13.5,,8.6,,4.8,,0,,0,,8.6,,0,,4.8,,0,,4.1,,2.61,,0.4,,1.46,,0.45,,24,,105,,71,,0,Yes,71,Yes,0,Yes,117,,0.57,,0.05,,0.17,,0.2,,0.9,,1.1,,0,,0.7,,0.1,,0.4,,3,,0.3,,2,,110,,150,,120,,12,,98,,0.2,,0,,0.2,,0.01,,0.4,,190,,17,,0,,1,
2453,WORCESTER SAUCE,F,100,50R,FALSE,FALSE,,1,40,,1,FALSE,75.3,,0.2,,6.25,,1.4,,0.1,,14.7,,62,,258,,0,,0,,0,,0,,14.7,,14.7,,0,,4,,4.7,,6,,0,,0,,0,,0.03,,0.03,,0,,0.03,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.05,,0.13,,0.4,,0.2,,0.6,,0,,0,,0.2,,0,,11,,0.3,,0,,1200,,598,,190,,73,,31,,10.1,,0,,10.1,,0.21,,0.4,,2100,,5,,0.98,,1,
2454,MUSTARD READY MADE,F,100,50R,FALSE,FALSE,,1,40,,1,FALSE,64.3,,1.2,,6.25,,7.7,,9.2,,6.9,,139,,583,,0,,2.5,,2.5,,1.1,,5.9,,5.9,,0,,2.7,,2.4,,0.7,,0,,0,,0,,1.1,,1.87,,0.24,,5.56,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.5,,2.1,,2.6,,0,,0,,0,,0,,0,,0,,0,,2300,,213,,93,,87,,192,,2.9,,0,,2.9,,0.2,,1.1,,2900,,1,,0.72,,33,Yes
2456,BEETROOT PICKLED IN VINEGAR,F,100,37M,FALSE,FALSE,,1,100,,1,FALSE,88.6,,0.2,,6.25,,1.2,,0.2,,5.6,,28,,117,,0,,1.7,,2.5,,0,,5.6,,0,,5.6,,0.6,,0.6,,4.4,,0,,0,,0,,0.04,,0.06,,0.01,,0.09,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.02,,0.03,,0.1,,0.2,,0.3,,5,Yes,0,,0,,0,,2,,0.1,,0,,120,,190,,19,,13,,17,,0.5,,0,,0.5,,0.04,,0.3,,210,,2,Yes,0.2,,0,
2458,PACKET SAUCES MADE UP,R,100,50R,FALSE,FALSE,Previous recipe: code 2450 (25%); code 2437 (25%); code 2413 (25%); code 2451 (25%). 08.07.11 RS,1,150,Recipe changed 08.07.11 RS,1,FALSE,81.2,,0.6,,6.37,,4.1,,2.3,,10,,75,,314,,0,,0.5,,,,5.2,,4.8,,0.9,,3.9,,0.2,,0.2,,0.6,,0.1,,3.7,,0,,1.21,,0.67,,0.04,,0.16,,0.08,,6,,14,,6,,0,,6,,0,,15,,0,,0.05,,0.21,,0.3,,0.7,,1,,0.9,,0.2,,0.1,,0.6,,3,,0.5,,2,,310,,186,,167,,14,,99,,0.4,,0,,0.4,,0.03,,0.5,,516,,24,Yes,0.08,,2,
2459,STUFFING,F,100,50R,FALSE,FALSE,"MW Miscellaneous code 372, made up packet mix",1,150,,1,FALSE,76.4,,0.4,,6.25,,2.8,,1.5,,19.3,,97,,412,,0,,1.3,,1.9,,18,,1.3,,0,,1.3,,0.5,,0.1,,0.2,,0,,0.5,,0.1,,0.53,,0.01,,0.39,,0.11,,0.33,,1,,0,,0,,0,,0,,0,,0,,0,,0.31,,0.22,,0.7,,1.4,,2.1,,0,,0,,0.1,,0,,26,,0.6,,5,,420,,69,,280,,12,,37,,1.5,,0,,1.5,,0.05,,0.2,,810,,22,,0.3,,2,
2460,TOMATO PUREE CANNED,F,100,50R,FALSE,FALSE,Updated based on 4 products 4 brands 13.07.11 RS.,1,150,"Updated NMES/IMS 24/06/10 EF - IMS 100% EF 20/08/10. CHO profile, energy, fibre and NaCl updated 13.07.11 RS",1,FALSE,71.9,,0.7,,6.25,,4.5,,0.2,,15.4,,77,,330,,0,,1.9,,2.6,,1.7,,13.7,,0,,13.7,,6.5,,7.2,,0,,0,,0,,0,,0,,0.08,,0,,0.08,,0,,0,,0,,1300,,0,,1264,,71,,217,,0,,0.22,,0.12,,4,,0.7,,4.7,,38,,5.4,,0.4,,0,,54,,1,,6,,80,,1150,,48,,48,,94,,1.6,,0,,1.6,,0.53,,0.7,,160,,2,,0.3,,1,Yes
2461,BROTH BONE AND VEGETABLE HOME-MADE,F,100,50D,FALSE,FALSE,,1,600,,1,FALSE,90.3,,0.6,,6.25,,3.7,,4.6,,1.1,,60,,251,,0,,0,,0,,0.1,,1,,0,,1,,0.3,,0.3,,0.4,,0,,0,,0,,1.2,Yes,1.64,Yes,0.11,Yes,0.55,Yes,0.05,Yes,1,Yes,0,,430,Yes,0,Yes,430,Yes,0,Yes,72,Yes,0,,0.03,Yes,0.02,Yes,0.5,,0.1,,0.6,Yes,0,,0.1,Yes,0.1,Yes,0,,10,Yes,0.1,Yes,1,Yes,74,,64,,17,,3,,10,,0.3,,0.1,,0.2,,0.04,,0.3,Yes,75,,16,Yes,0.07,,2,Yes
2462,CONSOMME (OTHER CLEAR SOUPS; BOUILLON CUBES),F,100,50C,FALSE,FALSE,,1,600,,1,FALSE,95.2,,0.5,,6.25,,2.9,,0,,0.1,,12,,50,,0,,0,,0,,0,,0.1,,0.1,,0,,0,,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.03,,0.02,,0.3,,0.5,,0.7,,0,,0.1,,0.1,,0,,10,,0.1,,1,,500,,64,,17,,3,,10,,0.3,,0.1,,0.2,,0.04,,0.3,,600,,16,,0.1,,1,Yes
2463,CREAM OF CHICKEN SOUP CANNED (READY TO SERVE),F,100,50C,FALSE,FALSE,NaCl update based on 5 retailer own brand and 1 other brand,1,600,"Code updated for NDNS rolling prog pilot study.  18/12/06 NK .NaCl updated 06.07.11 RS.
",1,FALSE,90.4,,0.2,,6.25,,1.4,,2.9,,5.3,,52,,216,,0,,0,,0,,3.8,,1.5,,1,,0.5,,0,,0.1,,0.8,,0,,0.5,,0,,0.4,,1.5,,0.2,,0.5,,0.1,,3,,0,Yes,16,,0,,16,,0,,3,Yes,0,,0.05,,0.05,,0.2,,0.3,,0.5,,0,,0.5,,0,,0,,1,,0,,0,,220,,31,,17,,3,,35,,0.1,,0,,0.1,,0,,0.1,,340,,2,,0.02,,0,
2464,CREAM OF CHICKEN SOUP CONDENSED CANNED,F,100,50C,FALSE,FALSE,"07.07.11 update based on 1 brand, 1 product RS",1,600,"Code updated for NDNS rolling prog pilot study.  18/12/06 NK.. Macro, energy and NaCl updated 06.07.11 RS.",1,FALSE,82.2,,0.4,,6.25,,2.3,,6.5,,8.5,,100,,416,,0,,0,,0,,7.3,,1.3,,1.3,,0,,0,,0.2,,0.4,,0.7,,0,,0,,0.6,,3.81,,0.32,,1.31,,0.17,,1,Yes,0,,0,,0,,0,,0,,0,,0,,0.02,,0.04,,0.6,,0.5,,1.1,,0,,0.2,Yes,0,Yes,0,,1,Yes,0.2,Yes,0,Yes,520,,62,,41,,7,,41,,0.5,,0.2,Yes,0.3,Yes,0.03,,0.5,,780,,5,,0.02,,0,
2465,CREAM OF CHICKEN SOUP CONDENSED MADE UP H20,F,100,50C,FALSE,FALSE,Based on 50% code 2464 and 50% water. 06.07.11 RS.,1,600,"Code updated for NDNS rolling prog pilot study.  18/12/06 NK. Folate updated for yr2 16/08/10 EF. Macros, energy and NaCl updated 06.07.11 RS.",1,FALSE,90.4,,0.2,,6.25,,1.2,,3.3,,4.3,,50,,208,,0,,0,,0,,3.6,,0.6,,0.6,,0,,0,,0.1,,0.2,,0.4,,0,,0,,0.3,,1.9,,0.16,,0.66,,0.09,,1,,0,,0,,0,,0,,0,,0,,0,,0.05,,0.05,,0.3,,0.2,,0.5,,0,,0.1,,0,,0,,1,,0.1,,0,,260,,31,,17,,3,,35,,0.1,,0,Yes,0.1,Yes,0,,0.1,,390,,3,,0.02,,0,
2466,CHICKEN NOODLE SOUP DRIED,F,100,50C,FALSE,FALSE,,1,600,Code updated for NDNS rolling prog pilot study.  18/12/06 NK..,1,FALSE,5,,2.7,,6.25,,17.1,,4.8,,73.7,,388,,1647,,0,,4.3,,2.5,,64.5,,9.2,,8.3,,0.8,,0.4,,0.4,,3.1,,0,,0,,5.2,,1.5,,2.05,,0.17,,0.71,,0.1,,1,,0,,0,,0,,0,,0,,0,,0,,0.23,,0.09,,4.8,,1,,5.9,,0,,0.1,,0.2,,0,,6,,0.7,,2,,4190,,248,,72,,59,,254,,3.7,,1.2,,2.5,,0.17,,1.2,,6240,,74,,0.74,,0,Yes
2467,CHICKEN NOODLE SOUP PACKET (MADE UP),F,100,50C,FALSE,FALSE,Updated based on 2 non-retailer brands and 1 retailer own brand 06.07.11 RS.,1,600,Code updated for NDNS rolling prog pilot study.  18/12/06 NK.. NaCl updated 06.07.11 RS,1,FALSE,94.5,,0.2,,6.25,,1,,0.3,,5.1,,26,,110,,0,,0.2,,0.1,,4.4,,0.7,,0.7,,0.1,,0,,0,,0.3,,0,,0,,0.4,,0.09,,0.12,,0.01,,0.04,,0.01,,0,,0,,0,,0,,0,,0,,0,,0,,0.01,,0,,0.2,,0.2,,0.4,,0,,0,,0,,0,,0,,0,,0,,230,,14,,4,,3,,15,,0.2,,0.1,,0.1,,0.01,,0.1,,340,,4,,0.04,,0,Yes
2468,INSTANT SOUP AS SERVED,F,100,50C,FALSE,FALSE,"Updated macronutrients for RP3 - Based on trans survey (67) SD 24/6/10.Micrs, CHO profile, energy upd Phs2 NDNSRPY4 usd dta Trn anl svy smp 67  HO/11/04/12",1,600,"mw6 1174. upda 260405. Code upd for NDNS rolling prog pilot study.181206 NK..Upd for RP3 SKD 240610 trns svey (67) nrgy, Protein, CHO profile, fat profile, fibre. Micrs, CHO profile, energy upd Phs2 RPY4 usd dta Trn anl svy smp 67  HO/11/04/12",1,FALSE,90.8,,0.1,,6.25,,0.6,,1.3,,6.2,,37,,156,,0,,0.2,,0.5,,2.8,,3.4,,3.3,,0.1,,0.2,,0.2,,0.6,,0.6,,0.1,,1.7,,0.84,,0.3,,0,,0.09,,0,,1,,0,,68,,18,,57,,4,,11,,0,,0.01,,0,,0,,0.1,,0.1,,0,,0.2,,0,,0,,1,,0,,2,,229,,75,,10,,3,,20,,0.1,,0,,0.1,,0.01,,0.1,,344,,0,,0,,0,
2469,LENTIL SOUP,R,100,50D,FALSE,FALSE,,1,600,,1,FALSE,75.9,,0.8,,12.26,,4.7,,3.9,,12.2,,100,,422,,0,,1.1,,,,10.1,,2.1,,0.1,,2.1,,0.2,,0.2,,0.5,,0,,0.7,,0.5,,1.51,,1.51,,0.14,,0.46,,0.02,,3,,33,,500,,139,Yes,431,Yes,0,Yes,116,,0.3,,0.09,,0.1,,1.1,,0.7,,1.7,,1.3,,0.7,Yes,0.2,Yes,0.1,Yes,9,,0.3,Yes,1,Yes,367,,166,,37,,16,,73,,1.3,,0,Yes,1.2,Yes,0.1,,0.6,,339,,7,Yes,0.24,Yes,2,Yes
2470,MINESTRONE SOUP DRIED,F,100,50C,FALSE,FALSE,,1,600,Code updated for NDNS rolling prog pilot study.  18/12/06 NK..,1,FALSE,5.9,,1.6,,6.25,,10,,2.5,,66.1,,310,,1319,,0,,5.3,,5.9,,44.8,,21.2,,20.3,Yes,0.9,Yes,3,,3.8,,12.9,,0,,0,,1.5,,0.78,,1.07,,0.09,,0.37,,0.05,,1,,0,,105,,0,Yes,105,Yes,0,Yes,18,,0,,0.21,,0.15,,3.1,,1.9,,5,,0,,0.1,,0.2,,0,,6,,0.7,,2,,3760,,672,,144,,60,,286,,2.6,,0,,2.6,Yes,0.2,,1.3,,4990,,74,,0.57,,0,
2471,MINESTRONE SOUP PACKET MADE UP,F,100,50C,FALSE,FALSE,,1,600,Code updated for NDNS rolling prog pilot study.  18/12/06 NK..,1,FALSE,93.1,,0.1,,6.25,,0.7,,0.2,,7.3,,32,,136,,0,,0.4,,0.5,,5.8,,1.5,,1.4,Yes,0.1,Yes,0.2,,0.3,,0.9,,0,,0,,0.1,,0.06,,0.08,,0.01,,0.03,,0,,0,,0,,8,,0,Yes,8,Yes,0,Yes,1,,0,,0.02,,0.01,,0.2,,0.1,,0.3,,0,,0,,0,,0,,0,,0.1,,0,,280,,49,,11,,4,,21,,0.2,,0,,0.2,Yes,0.01,,0.1,,370,,5,,0.04,,0,
2472,CREAM OF MUSHROOM SOUP CANNED,F,100,50C,FALSE,FALSE,Updated based on 5 retailer own brand products 06.07.11 RS.,1,600,Code updated for NDNS rolling prog pilot study.  18/12/06 NK. NaCl updated 06.07.11 RS.,1,FALSE,90.7,,0.2,,6.25,,1,,3,,5,,50,,208,,0,,0.4,,0.4,,4,,1.1,,0.5,Yes,0.5,Yes,0,,0.1,,0.4,,0,,0.5,,0,,0.3,,1.6,,0.2,,0.6,,0.1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.3,,0.2,,0.5,,0,,0.1,,0,,0,,12,,0.1,,1,,220,,53,,15,,3,,34,,0.2,,0,,0.2,,0.02,,0.1,,260,,16,,0.02,,1,
2473,OXTAIL SOUP CANNED,F,100,50C,FALSE,FALSE,06.07.11 update based on 5 retail own brands RS.,1,600,"Code updated for NDNS rolling prog pilot study.  18/12/06 NK.Protein, fats, fibre and energy and NaCl updated 06.07.11 RS",1,FALSE,88.5,,0.3,,6.25,,1.9,,1.1,,6.3,,40,,169,,0,,0.4,,0.5,Yes,5,,1.4,,1.4,Yes,0,Yes,0.3,,0.3,,0.8,,0,,0,,0,,0.44,,0.5,,0.01,,0.03,,0.05,,1,Yes,0,,0,,0,,0,,0,,0,,0,,0.02,,0.03,,0.7,,0.5,,1.2,,0,,0,Yes,0,,0,,0,Yes,0,Yes,0,Yes,240,,93,,40,,6,,37,,1,,0.4,Yes,0.6,Yes,0.04,,0.4,,270,,16,,0.1,Yes,0,
2474,OXTAIL SOUP DRIED,F,100,50C,FALSE,FALSE,,1,600,Code updated for NDNS rolling prog pilot study.  18/12/06 NK..,1,FALSE,3,,2.8,,6.25,,17.6,,10.5,,51,,356,,1504,,0,,2.5,,3.8,,41.8,,9.2,,9.2,,0,,1,,0.9,,5.5,,1.5,,0,,0.3,,4.19,,4.41,,0.06,,0.22,,0.45,,9,,0,,0,,0,,0,,0,,0,,0,,10.4,,0.3,,3.5,,3.8,,7.3,,0,,0.3,Yes,0.9,Yes,0,,9,Yes,0.5,Yes,0,Yes,4300,,700,,140,,44,,260,,4.3,,1.7,,2.6,,0.25,,2.4,,6280,,74,Yes,3,,0,Yes
2475,OXTAIL SOUP PACKET (AS SERVED),F,100,50C,FALSE,FALSE,,1,600,Code updated for NDNS rolling prog pilot study.  18/12/06 NK..,1,FALSE,92.5,,0.2,,6.25,,1.4,,0.8,,3.9,,27,,116,,0,,0.3,,0.3,,3.2,,0.7,,0.7,Yes,0,Yes,0.1,,0.1,,0.4,,0.1,,0,,0,,0.32,,0.34,,0,,0.02,,0.03,,1,,0,,0,,0,,0,,0,,0,,0,,0.8,,0.02,,0.3,,0.3,,0.6,,0,,0,,0.1,,0,,1,,0,,0,,120,,54,,11,,3,,20,,0.3,,0.1,Yes,0.2,Yes,0.02,,0.2,,170,,5,,0.01,Yes,0,
2476,SOUP - PEA HOMEMADE,R,100,50D,FALSE,FALSE,,1,600,,1,FALSE,73.2,,0.8,,8.36,,4.9,,5.5,,14.4,,123,,519,,0,,1.2,,,,11.7,,2.7,,0,,2.7,,0.1,,0.1,,0.4,,0,,1.7,,0.4,,2.27,,2,,0.18,,0.62,,0.03,,6,,50,,57,,1,Yes,56,Yes,0,Yes,59,,0.41,,0.07,,0.11,,0.6,,0.8,,1.4,,1,,0.8,Yes,0.1,,0.3,,14,Yes,0.4,,1,Yes,524,,178,,56,,17,,88,,0.8,,0,,0.8,,0.03,,0.7,,805,,13,Yes,0.23,,1,Yes
2477,SCOTCH BROTH,R,100,50D,FALSE,FALSE,,1,600,,1,FALSE,86.7,,0.9,,6.23,,5.5,,4.2,,2.5,,70,,291,,0,,0.7,,0.8,,1.7,,0.9,Yes,0,,0.9,,0.2,,0.2,,0.3,,0,,0,,0.2,,2.02,,1.11,,0.08,,0.21,,0.35,,22,,1,,849,,247,Yes,726,Yes,0,Yes,142,,0.13,,0.04,,0.03,,0.6,,1.1,,1.7,,1.5,,0.1,Yes,0,,0.5,,5,,0.3,,0,,115,,71,,14,,6,,41,,0.5,,0.1,,0.4,,0.03,,1.2,,172,,2,Yes,0.05,,1,Yes
2478,CREAM OF TOMATO SOUP CANNED,F,100,50C,FALSE,FALSE,"NDNS RP year 3: analytical data from trans project composite sample 55.Micrs, CHO profile, energy upd Phs2 NDNSRPY4 usd dta Trn anl svy smp 55 HO 11/04/12",1,600,"Code updated for NDNS rolling prog pilot study.  21/12/06 NK.NDNS RP year 3 updated all macronutrients GS 24/06/10..Micrs, CHO profile, energy upd Phs2 NDNSRPY4 usd dta Trn anl svy smp 55 HO 11/04/12",1,FALSE,89,,0.1,,6.38,,0.9,,2,,7.8,,51,,215,,0,,0.5,,0.6,,2.2,,5.5,,5,,0.5,,1.3,,1.5,,2.2,,0,,0.5,,0,,0.27,,1.15,,0.15,,0.34,,0.01,,3,,0,,147,,0,,147,,0,,25,,0,,0,,0.11,,0.6,,0.1,,0.7,,1,,1.4,,0.1,,0,,14,,0,,1,,245,,179,,14,,8,,19,,0.2,,0,,0.2,,0.04,,0.1,,420,,2,,0.1,,0,
2479,TOMATO SOUP CONDENSED,F,100,50C,FALSE,FALSE,,1,600,Code updated for NDNS rolling prog pilot study.  18/12/06 NK..,1,FALSE,70.6,,0.3,,6.25,,1.7,,6.8,,12.8,,116,,485,,0,,0.2,,0.2,Yes,4.7,,8.1,,8.1,Yes,0,Yes,2.1,,2.3,,3.5,,0,,0.1,,0,,4.31,,1.68,,0.05,,0.12,,0.23,,1,Yes,0,,400,,0,,387,Yes,22,Yes,67,,0,,0.06,,0.05,,1,,0.2,,1.2,,0,,0.2,Yes,0.1,Yes,0,,24,Yes,0.2,Yes,1,Yes,300,,360,,32,,15,,38,,0.7,,0,,0.7,,0.11,,0.3,,480,,16,Yes,0.1,,0,
2480,TOMATO SOUP CONDENSED DILUTED WITH WATER,F,100,50C,FALSE,FALSE,"Updated based on one brand, one product 06.07.11 RS.",1,600,"Code updated for NDNS rolling programme pilot study 18/12/06 RT. Fat, protein, CHO, energy and NaCl updated 06.07.11 RS",1,FALSE,87.6,,0.1,,6.25,,0.7,,3.3,,10.8,,73,,307,,0,,0.2,,0.2,,4.1,,6.8,,6.8,Yes,0,,1.7,,1.9,,3.2,,0,,0,,0,,0.4,,2.41,,0.08,,0.16,,0.1,,1,,0,,200,,0,,194,Yes,11,Yes,33,,0,,0.1,,0.02,,0.5,,0.1,,0.6,,0,,0.1,,0,,0,,12,,0.1,,1,,240,,151,,11,,7,,17,,0.5,,0,,0.5,,0.04,,0.1,,420,,3,,0.05,,0,
2481,TOMATO SOUP DRIED,F,100,50C,FALSE,FALSE,,1,600,Code updated for NDNS rolling prog pilot study.  18/12/06 NK..,1,FALSE,4.6,,0.8,,6.25,,4.8,,14.3,,69,,407,,1714,,0,,2.6,,3,,40.7,,28.3,,28.3,Yes,0,Yes,3.1,,3.7,,18.1,,0,,0,,3.4,,6.6,,3,,0,,0.3,,2.7,,2,,0,,6310,,0,Yes,6113,Yes,394,Yes,1052,,0,,0.02,,0.02,,0.2,,0.1,,0.3,,0,,0.2,,0.7,,0,,52,,0.7,,7,,2700,,840,,99,,40,,280,,1.2,,0,,1.2,,0.3,,0.5,,4350,,74,Yes,0.27,,0,
2482,TOMATO SOUP PACKET MADE UP,F,100,50C,FALSE,FALSE,Updated based on 3 retail own brand products and 2 other brands 06.07.11 RS.,1,600,Code updated for NDNS rolling prog pilot study.  18/12/06 NK.. NaCel updated 06.07.11 RS.,1,FALSE,91.2,,0.1,,6.25,,0.4,,1.3,,7.6,,42,,177,,0,,0.2,,0.3,,4.2,,3.4,,3.4,Yes,0,,0.3,,0.4,,2.2,,0,,0,,0.4,,0.6,,0.3,,0,,0,,0.2,,0,,0,,582,,0,Yes,565,Yes,32,Yes,97,,0,,0.02,,0.02,,0,,0,,0,,0,,0,,0.1,,0,,5,,0.1,,1,,210,,78,,9,,4,,26,,0.1,,0,,0.1,,0.03,,0,,340,,7,,0.02,,0,
2483,VEGETABLE SOUP CANNED,F,100,50C,FALSE,FALSE,,1,600,Code updated for NDNS rolling prog pilot study.  18/12/06 NK..,1,FALSE,87.8,,0.2,,6.25,,1.4,,0.6,,8.8,,44,,187,,0,,1.5,,1.8,,6,,2.8,,1.4,Yes,1.4,Yes,0.8,,0.9,,1.2,,0,,0,,0,,0.19,,0.26,,0.02,,0.09,,0.01,,0,,0,,18,,0,,18,,0,,3,,0,,0.09,,0.02,,2.5,,0.2,,2.7,,0,,0.1,,0,,0,,10,,0.1,,0,,290,,111,,12,,8,,29,,0.4,,0,,0.4,,0.04,,0.2,,510,,16,,0.07,,1,Yes
2484,SOUP VEGETABLE,R,100,50D,FALSE,FALSE,,1,600,,1,FALSE,93.2,,0.1,,12.25,,0.7,,0.3,,3.8,,20,,84,,0,,0.7,,0.8,,2.6,,1.2,,0,,1.2,,0.4,,0.3,,0.5,,0,,0,,0.1,,0.1,,0.08,,0.02,,0.07,,0.01,,0,,0,,2009,,600,Yes,1709,Yes,0,Yes,335,,0,,0.05,,0.02,,0.5,,0.1,,0.6,,1.9,,0.1,Yes,0.1,Yes,0,Yes,7,,0.1,Yes,0,Yes,185,Yes,89,,10,,4,,13,,0.2,,0,Yes,0.2,Yes,0.02,,0.1,,161,Yes,2,Yes,0.04,,1,Yes
2485,SOUP OTHER CANNED AS SERVED,R,100,50C,FALSE,FALSE,,1,600,,1,FALSE,88.9,,0.2,,6.28,,1.4,,1.6,,7.1,,47,,197,,0,,0.6,,0.7,Yes,4.3,,2.8,,2.2,Yes,0.6,Yes,0.6,,0.7,,1.2,,0,,0.2,,0,,0.32,,0.85,,0.1,,0.24,,0.04,,2,Yes,0,Yes,45,,0,,45,,0,,8,Yes,0,,0.04,,0.05,,1,,0.3,,1.3,,0.3,,0.5,Yes,0,,0,,6,Yes,0,Yes,0,Yes,249,,104,,21,,6,,30,,0.4,,0.1,Yes,0.3,Yes,0.03,,0.2,,385,,9,,0.07,Yes,0,Yes
